x,y,z
-25.9083,51.3087,4.373474
-24.2157,51.9171,2.446838
-24.2664,54.7017,1.339233
-22.7805,57.8022,0.6489258
-21.7977,60.0525,0.3096313
-21.8406,60.0525,-0.1349487
-23.0067,58.7616,0.192627
-23.8998,56.5074,0.9180298
-24.6954,53.6487,2.107544
-24.5277,52.4163,2.766663
-23.3967,54.1752,0.5787354
-22.3593,56.7531,-0.9890747
-21.6651,59.0424,-2.260437
-19.8633,60.8325,-1.304932
-20.7915,59.6547,0.6606445
-23.0496,56.5191,3.074768
-25.4871,52.4124,3.351624
-24.4107,51.1332,4.12384
-24.126,50.8875,3.792358
-24.0285,53.9958,0.8673706
-23.8101,58.0557,-0.8564453
-21.1932,61.4838,0.08734131
-20.3235,61.9791,0.4344482
-22.3788,59.682,1.674622
-24.477,56.7258,3.215149
-25.4364,53.4264,3.390625
-24.8514,52.4046,3.180054
-24.4848,54.1284,3.035767
-24.5784,56.7258,2.205078
-22.6206,59.6781,0.6099243
-21.357,61.1445,-0.4508667
-21.6417,61.1952,-0.02575684
-22.7298,59.4324,1.643433
-23.9661,55.4037,3.039673
-25.0932,52.0575,3.055237
-25.2375,52.3695,1.783875
-24.1299,54.6939,0.2394409
-22.449,58.7148,-0.6692505
-21.2127,61.4331,-1.944519
-20.2377,61.1094,-1.792419
-20.9046,59.2491,0.6606445
-23.5839,54.4287,2.563843
-26.1462,50.7705,1.799438
-23.8803,50.9343,1.526428
-22.0824,53.8593,0.192627
-23.0808,57.4239,-0.8291626
-22.8234,60.3489,-4.155823
-20.7369,61.7373,-3.215942
-19.6332,61.2498,-1.507751
-22.4607,58.434,1.561523
-25.1595,53.9139,4.506042
-25.0308,50.2557,5.383545
-23.58,50.2323,4.108276
-22.9755,53.5512,1.932068
-22.6557,58.4613,0.6450806
-20.967,61.3395,-0.8681641
-19.7385,61.6476,-1.492126
-21.2322,60.0369,-0.7160645
-23.9622,57.7554,0.7347412
-24.1494,55.3764,2.68866
-24.282,53.3835,2.953857
-24.5901,53.6604,2.46637
-24.0948,55.5987,0.4383545
-22.8195,58.668,1.436768
-21.2868,60.4815,0.699646
-21.7548,59.9316,1.269043
-22.1682,57.0573,3.453064
-23.8023,53.0793,4.52948
-26.0214,50.9577,3.102051
-24.9957,51.7806,2.353271
-22.7844,55.6728,0.6099243
-22.1526,59.0385,-2.014771
-21.9654,61.6125,-3.079468
-21.1113,62.022,-2.802551
-20.4405,60.0837,1.109131
-22.9989,55.4193,3.059143
-25.3311,52.0497,4.977966
-24.4809,50.4039,3.741638
-22.3827,52.1121,1.662964
-20.6355,56.1876,0.2199707
-20.0388,60.0876,-2.615356
-19.485,61.7256,-5.240051
-19.4616,62.2521,-4.857849
-20.0934,59.5104,-2.974121
-22.9794,56.1798,-0.5405273
-24.5082,52.5684,1.39386
-23.7477,50.8875,2.255737
-22.3125,51.843,0.3603516
-21.7743,54.9357,-2.003052
-20.9514,59.5026,-1.437561
-19.836,60.8364,-0.3689575
-19.953,59.6352,0.223877
-21.2322,57.0495,2.123169
-23.1471,53.5629,3.737732
-24.3483,51.531,4.892151
-24.5277,50.9538,4.244751
-23.502,53.559,2.883667
-22.3047,57.9972,1.003845
-20.6667,62.7318,-1.69104
-20.8773,64.1631,-0.7433472
-21.6846,62.2677,1.26123
-23.3382,57.4239,3.616821
-24.6018,52.5762,4.853149
-24.7656,51.0084,4.494324
-24.3834,51.7611,4.420227
-22.9599,54.8577,2.052979
-22.4373,58.6563,-1.644226
-20.3391,62.5173,-3.921875
-18.9585,64.869,-3.383667
-20.4054,62.8995,-1.359558
-22.8312,59.9004,0.6645508
-23.9154,55.6806,2.474121
-24.8319,51.8625,3.094238
-24.6096,50.7744,2.283081
-22.5855,53.91,1.159851
-21.4155,58.9488,0.2433472
-19.0521,62.5836,-2.697266
-18.3384,63.7341,-2.162964
-20.5068,61.6164,-1.078735
-22.293,58.0518,0.8790283
-22.5309,54.183,3.421875
-23.619,50.9694,4.880432
-23.9934,50.79,2.969421
-22.9365,53.6331,0.461731
-20.2884,58.5783,-0.8057251
-18.9,63.3012,-0.2558594
-20.343,63.8706,-0.361145
-21.7119,60.774,0.5982666
-21.9186,56.4099,2.575562
-22.5114,53.052,5.699463
-23.7555,51.4842,5.313354
-23.8413,51.4335,4.334473
-21.9186,53.2314,1.460144
-18.9819,58.4106,0.02886963
-19.3758,62.7435,-2.689453
-19.7229,64.4361,-3.605957
-19.5006,62.8371,0.177063
-21.0255,58.9761,2.134827
-22.8468,55.0449,4.139465
-24.3873,50.9772,5.886658
-23.9661,50.5872,5.356262
-22.8702,52.3032,3.261963
-21.8874,56.0589,-1.683228
-19.7151,61.1796,-3.524048
-17.8158,64.986,-3.110657
-18.5022,64.4166,-1.406372
-20.187,60.5673,0.6879272
-21.9186,55.4427,2.259644
-23.9427,51.8079,4.147278
-24.2664,50.5287,4.240845
-23.541,51.9873,3.928833
-22.0395,55.3218,1.608337
-20.6277,58.9644,-2.162964
-19.4148,62.802,-2.736267
-18.9273,64.4595,-0.05303955
-20.8422,61.749,2.450745
-22.4217,57.5838,2.618469
-23.5293,53.5161,3.612976
-24.3873,51.1137,5.130066
-24.0909,52.2564,3.819641
-22.5387,55.5987,2.084167
-20.8695,59.5806,-0.6575317
-19.9296,62.802,-2.981934
-20.0583,64.46339,-3.235474
-20.3508,62.9151,-0.2948608
-21.3726,59.9316,3.636353
-23.0613,55.4817,6.424866
-25.2453,51.2619,6.842163
-25.5144,50.4468,5.523926
-24.2313,52.2993,0.9726563
-20.7681,57.4668,-1.234741
-19.6215,63.5508,-0.8564453
-19.7151,65.7621,-1.535034
-20.2104,64.2333,-2.38916
-21.2868,59.916,-1.070923
-22.2267,56.3163,1.893066
-24.3288,53.8632,4.408569
-24.4809,52.428,5.313354
-21.9108,53.1924,3.85083
-20.7642,54.7836,-0.1622314
-21.3882,58.0986,-2.919556
-19.3173,61.788,-2.357971
-19.6137,63.3987,-2.073242
-20.8305,61.4526,-1.862671
-20.5263,57.9387,-0.2597656
-20.9202,56.6946,1.826721
-21.7041,55.3413,2.774475
-22.3593,55.4661,1.916443
-22.7571,56.2305,0.6021729
-20.3937,57.8256,-0.407959
-19.1145,59.7834,-0.2207642
-20.5692,61.4799,-1.156738
-21.1425,60.6921,-0.392334
-20.7993,59.3232,1.097473
-20.6043,57.4512,2.423462
-21.8484,55.9614,4.673767
-23.5566,54.9825,3.839172
-22.8156,53.5941,1.932068
-21.9264,54.4365,-0.8291626
-21.1581,58.5237,-2.13562
-19.4928,62.8371,0.74646
